smiles,mw,heavy_atoms,atoms,heteroatoms,rings,GFN2_HOMO_LUMO_GAP,DFT_HOMO_LUMO_GAP,rdkit_smiles,inchi_key,compound_id
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1N([H])N([H])C(=O)C([H])([H])[n+]1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],349.1328879520906,24,45,8,2,0.0679472,0.2699538569942269,Cc1cc(C)[n+](CC(=O)NNc2ccc(S(N)(=O)=O)cc2)c(C)c1,LPFYEFJRFFLFAY-UHFFFAOYSA-O,LPFYEFJRFFLFAY-UHFFFAOYSA-O
[H]O[C@@]([H])(C([H])([H])Oc1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1[C@@]([H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c([H])c(C(F)(F)F)c1[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],519.1800104239106,37,64,9,3,0.0564683999999999,0.2935406184351771,Cc1cc(C)c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c([C@@H](c2ccc(F)cc2)c2cccc(C(F)(F)F)c2)c1,HITATFSDGIRUCG-PLXFJCCSSA-M,HITATFSDGIRUCG-PLXFJCCSSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(Cl)c([H])c(Cl)c([H])c1C([H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],509.07395915191057,34,55,9,3,0.075997,0.3175479068029669,O=C([O-])C[C@H](O)C[C@@H](O)COc1c(Cl)cc(Cl)cc1C(c1ccc(F)cc1)c1ccc(F)cc1,VQWSITRBHPOQTC-WOJBJXKFSA-M,VQWSITRBHPOQTC-WOJBJXKFSA-M
[H]c1c([H])c([H])c(-c2c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])[n+](C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])c3nnc(S(=O)(=O)N([H])[H])s3)c(C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1[H],531.1842718920909,36,67,12,3,0.0957233,0.3000825473990495,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1,TXWIVULJNOBLNT-UHFFFAOYSA-O,TXWIVULJNOBLNT-UHFFFAOYSA-O
[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])/C(=C(\[H])C([H])([H])C([H])([H])/C(=C(\[H])C([H])([H])ON([H])C(=O)C([H])([H])[P@](=O)([O-])OC([H])([H])OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],472.2469627979109,32,71,9,0,0.1348962,0.3564552498757949,CC(C)=CCC/C(C)=C/CC/C(C)=C/CONC(=O)C[P@](=O)([O-])OCOC(=O)C(C)(C)C,CIIUQUGEZHKMSN-LCAIAVFMSA-M,CIIUQUGEZHKMSN-LCAIAVFMSA-M
[H]O[C@]([H])(C([H])([H])Oc1c(C([H])([H])C([H])([H])C([H])([H])Oc2c([H])c([H])c(F)c([H])c2[H])c([H])c(Cl)c([H])c1C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],493.1798681919109,34,65,8,3,0.0471504,0.2905796973108259,O=C([O-])C[C@H](O)C[C@H](O)COc1c(CCCOc2ccc(F)cc2)cc(Cl)cc1C1CCCC1,SGKRQHZSMMVREF-YADHBBJMSA-M,SGKRQHZSMMVREF-YADHBBJMSA-M
[H]c1c([H])c([H])c(C([H])([H])N(C(=O)N([H])C([H])(C(=O)[O-])C([H])(C([H])([H])[H])C([H])([H])[H])N([H])C(=O)C([H])([H])c2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])[H])c([H])c2[H])c([H])c1[H],530.2408927039108,39,71,10,3,0.097664,0.3139574458063437,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)NN(Cc2ccccc2)C(=O)NC(C(=O)[O-])C(C)C)cc1,RLLVYLRVUWVLKT-UHFFFAOYSA-M,RLLVYLRVUWVLKT-UHFFFAOYSA-M
[H]c1c([H])c([H])c(-c2c([H])c(C([H])([H])[H])[n+](C([H])([H])C(=O)OC([H])([H])C([H])([H])Oc3c([H])c([H])c4nc(S(=O)(=O)N([H])[H])sc4c3[H])c(C([H])([H])[H])c2[H])c([H])c1[H],498.1151892880906,34,58,10,4,0.0645215,0.2489393046711704,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)OCCOc1ccc2nc(S(N)(=O)=O)sc2c1,QOPZRTKUPLJDOO-UHFFFAOYSA-N,QOPZRTKUPLJDOO-UHFFFAOYSA-N
[H]c1c([H])c([H])c(-c2c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])[n+](C([H])([H])C(=O)OC([H])([H])c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1[H],467.1999048920909,33,64,7,3,0.0795602,0.2930096879155407,CC(C)c1cc(-c2ccccc2)cc(C(C)C)[n+]1CC(=O)OCc1ccc(S(N)(=O)=O)cc1,FQIDOJKNRAGLEI-UHFFFAOYSA-N,FQIDOJKNRAGLEI-UHFFFAOYSA-N
[H]O[C@]([H])(C([H])([H])Oc1c(Cl)c([H])c(Cl)c([H])c1C([H])(c1c([H])c([H])c(F)c(C([H])([H])[H])c1[H])c1c([H])c([H])c(F)c(C([H])([H])[H])c1[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],537.1052592799107,36,61,9,3,0.0517512,0.2985367600372036,Cc1cc(C(c2ccc(F)c(C)c2)c2cc(Cl)cc(Cl)c2OC[C@@H](O)C[C@@H](O)CC(=O)[O-])ccc1F,VRUKSNBTMNSBFT-UXHICEINSA-M,VRUKSNBTMNSBFT-UXHICEINSA-M
[H]C([H])([H])Oc1c(Br)c(C(=O)[O-])c(-c2c3c(c(OC([H])([H])[H])c(Br)c2C(=O)[O-])OC([H])([H])O3)c2c1OC([H])([H])O2,543.8651678798202,30,40,12,4,0.0830837,0.3017213699908116,COc1c(Br)c(C(=O)[O-])c(-c2c3c(c(OC)c(Br)c2C(=O)[O-])OCO3)c2c1OCO2,OXSLDUKIIUBYJV-UHFFFAOYSA-L,OXSLDUKIIUBYJV-UHFFFAOYSA-L
[H]O[C@@]([H])(C([H])([H])C([H])([H])c1c(-c2c([H])c([H])c(F)c([H])c2[H])c([H])n(-c2c([H])c([H])c([H])c([H])c2[H])c1C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],410.17731007991074,30,55,6,3,0.0199807,0.2419697214947758,Cc1c(CC[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1,VEWGDVSTEWFLQL-LEWJYISDSA-M,VEWGDVSTEWFLQL-LEWJYISDSA-M
[H]c1c([H])c(C([H])(OC(=O)C([H])([H])C([H])([H])C(=O)[O-])c2c([H])c([H])c(OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c([H])c1OC(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],483.2024415319109,35,66,8,2,0.0305845,0.2740490379731204,CC(C)(C)C(=O)Oc1ccc(C(OC(=O)CCC(=O)[O-])c2ccc(OC(=O)C(C)(C)C)cc2)cc1,WMHGAYQTMNYVCA-UHFFFAOYSA-M,WMHGAYQTMNYVCA-UHFFFAOYSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(-c2c([H])c([H])c(F)c([H])c2[H])nc2c([H])c([H])c([H])c([H])c2c1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],426.17222469991066,31,56,7,3,0.0081184,0.2309622837984655,CC(C)c1c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12,WFJBUGLKYOMEIA-QZTJIDSGSA-M,WFJBUGLKYOMEIA-QZTJIDSGSA-M
[H]O[C@]([H])(C([H])([H])Oc1c(Cl)c([H])c(Cl)c([H])c1C(F)=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],419.0833809639106,27,49,8,2,0.0084152,0.2282900409346344,O=C([O-])C[C@H](O)C[C@H](O)COc1c(Cl)cc(Cl)cc1C(F)=C1CCCCC1,CPGOAJGOPMOMRT-KGLIPLIRSA-M,CPGOAJGOPMOMRT-KGLIPLIRSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1[C@]([H])(N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],476.3017616439111,34,76,7,2,0.0837678999999999,0.3225222753111101,CCC(C)(C)C(=O)N[C@@H](c1cc(C)cc(C)c1OC[C@H](O)C[C@@H](O)CC(=O)[O-])C1CCCCC1,XAFSODPXPFYGDP-PQNGQFLHSA-M,XAFSODPXPFYGDP-PQNGQFLHSA-M
[H]O[C@]([H])(C([H])([H])Oc1c(Cl)c([H])c(Cl)c([H])c1C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],403.1084528399107,26,51,7,2,0.0274700999999999,0.2656044280023835,O=C([O-])C[C@H](O)C[C@H](O)COc1c(Cl)cc(Cl)cc1CC1CCCCC1,JFBQKTMQLRVNBD-CVEARBPZSA-M,JFBQKTMQLRVNBD-CVEARBPZSA-M
[H]c1c([H])c([H])c(C(C(=O)N([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])n2c([H])c([H])[n+](C([H])([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c2C([H])([H])[H])c([H])c1[H],424.2383390000908,32,62,4,4,0.110382,0.3362780259551911,Cc1ccc(C[n+]2ccn(CCC(C(N)=O)(c3ccccc3)c3ccccc3)c2C)cc1,JRMNCPZXDNIHBY-UHFFFAOYSA-O,JRMNCPZXDNIHBY-UHFFFAOYSA-O
[H]O[C@@]([H])(C([H])([H])Oc1c(C([H])([H])[H])c([H])c(Cl)c([H])c1C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],383.1630752559107,26,54,6,2,0.0492149999999999,0.2790765734712098,Cc1cc(Cl)cc(CC2CCCCC2)c1OC[C@H](O)C[C@@H](O)CC(=O)[O-],RMWBEXIGBOJQMW-QZTJIDSGSA-M,RMWBEXIGBOJQMW-QZTJIDSGSA-M
[H]C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H],338.36500231218133,24,70,2,2,0.1962792,0.3806882838057793,CCCC1(CCC)CCC2(CC1)CC[N+](C)(CCC[N+](C)(C)C)C2,DVTHMUBJYGMWTJ-UHFFFAOYSA-N,DVTHMUBJYGMWTJ-UHFFFAOYSA-N
[H]OB(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])N(C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],425.2485869040008,31,63,8,2,0.1193801999999999,0.3474461731062222,NCCCC[C@H](NC(=O)CN(Cc1ccccc1)C(=O)CCc1ccccc1)B(O)O,URKMPCVXBJBNFU-NRFANRHFSA-N,URKMPCVXBJBNFU-NRFANRHFSA-N
[H]O[C@]([H])(C([H])([H])Oc1c(Cl)c([H])c(Cl)c([H])c1-c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],383.0458525839105,25,42,7,2,0.0281844,0.2652348323440785,O=C([O-])C[C@H](O)C[C@H](O)COc1c(Cl)cc(Cl)cc1-c1ccccc1,OJDAHSKQFOREMJ-KGLIPLIRSA-M,OJDAHSKQFOREMJ-KGLIPLIRSA-M
[H]OB(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])N(C(=O)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],411.2329368400008,30,60,8,2,0.1305454999999999,0.3520356753492258,NCCCC[C@H](NC(=O)CN(C(=O)CCc1ccccc1)c1ccccc1)B(O)O,NZEDSGTYZINZBH-FQEVSTJZSA-N,NZEDSGTYZINZBH-FQEVSTJZSA-N
[H]Oc1c([H])c([H])c([H])c2c3c(C([H])([H])[H])c4c([H])[n+](C([H])([H])[H])c([H])c([H])c4c(C([H])([H])[H])c3n([H])c12,277.1335395840905,21,38,3,4,0.0570575,0.2356185307098725,Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1c(O)cccc12,JPJCTJABODHFLU-UHFFFAOYSA-O,JPJCTJABODHFLU-UHFFFAOYSA-O
[H]O[C@@]([H])(C([H])([H])Oc1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1[C@@]([H])(c1c([H])c([H])c(F)c([H])c1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],431.2239259239109,31,63,6,2,0.0653484,0.3004085406999377,Cc1cc(C)c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c([C@H](CC(C)C)c2ccc(F)cc2)c1,YXCVOFSBSRBCGH-YPAWHYETSA-M,YXCVOFSBSRBCGH-YPAWHYETSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(Cl)c([H])c(Cl)c([H])c1C(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],417.08771739591066,27,50,8,2,0.0380949,0.2805026667136676,O=C([O-])C[C@H](O)C[C@@H](O)COc1c(Cl)cc(Cl)cc1C(=O)C1CCCCC1,PEXIVRSEMGWJFU-ZIAGYGMSSA-M,PEXIVRSEMGWJFU-ZIAGYGMSSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(-c2c([H])c([H])c(F)c([H])c2[H])c([H])c(SC(Sc2c([H])c(-c3c([H])c([H])c(F)c([H])c3[H])c([O-])c(C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],708.240184663821,49,91,10,4,0.0391886,0.2313510437830603,CC(C)c1cc(SC(C)(C)Sc2cc(-c3ccc(F)cc3)c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c2)cc(-c2ccc(F)cc2)c1[O-],VDPZSEASYIIOOX-FQLXRVMXSA-L,VDPZSEASYIIOOX-FQLXRVMXSA-L
[H]/C(=N\N([H])C1=NC([H])([H])C([H])([H])N1[H])c1c([H])c([H])c(OC([H])([H])c2c([H])n3c([H])c([H])c([H])c([H])c3[n+]2C([H])([H])[H])c([H])c1[H],349.1771357120906,26,47,7,4,0.005598,0.1772768802366016,C[n+]1c(COc2ccc(/C=N/NC3=NCCN3)cc2)cn2ccccc21,LVVXLQZFYVODQR-WSDLNYQXSA-N,LVVXLQZFYVODQR-WSDLNYQXSA-N
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])SC(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],248.16787649209,16,42,4,0,0.128395,0.3898419554633704,CCCCCCSC(=O)OCC[N+](C)(C)C,MYPUMOKORCCVMS-UHFFFAOYSA-N,MYPUMOKORCCVMS-UHFFFAOYSA-N
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])SC(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],220.13657636409,14,36,4,0,0.1398449,0.3908825073803553,CCCCSC(=O)OCC[N+](C)(C)C,WYLOOWXXBXLTSC-UHFFFAOYSA-N,WYLOOWXXBXLTSC-UHFFFAOYSA-N
[H]O[C@]([H])(C([H])([H])[H])[C@@]1([H])C(=O)N2C(C(=O)[O-])=C(S[C@@]3([H])C([H])([H])O[C@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C3([H])[H])[C@]([H])(C([H])([H])[H])[C@@]21[H],383.1282310359106,26,49,9,3,0.098439,0.3225699961536563,CC(=O)NC[C@@H]1C[C@@H](SC2=C(C(=O)[O-])N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)CO1,ZICFDNXTOYIPCU-RXSOLEHHSA-M,ZICFDNXTOYIPCU-RXSOLEHHSA-M
[H]O[C@]([H])(C([H])([H])Oc1c(C([H])([H])[H])nc2c([H])c([H])c([H])c([H])c2c1-c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],380.1503463839105,28,50,6,3,0.0121197,0.243706006611555,Cc1nc2ccccc2c(-c2ccccc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)[O-],IAIQZRIQFGXCEB-SJORKVTESA-M,IAIQZRIQFGXCEB-SJORKVTESA-M
[H]O[C@]([H])(C([H])([H])[H])[C@@]1([H])C(=O)N2C(C(=O)[O-])=C(S[C@]3([H])C([H])([H])O[C@@]([H])(C([H])([H])N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])[H])C3([H])[H])[C@]([H])(C([H])([H])[H])[C@@]21[H],412.1547801319107,28,54,10,3,0.1061993999999999,0.3204212516355391,C[C@H](N)C(=O)NC[C@H]1C[C@H](SC2=C(C(=O)[O-])N3C(=O)[C@H]([C@@H](C)O)[C@H]3[C@H]2C)CO1,HCQUCGFZKMGBSK-OLPJOPMJSA-M,HCQUCGFZKMGBSK-OLPJOPMJSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(-c2c([H])c([H])c(F)c([H])c2[H])c([H])c(Sc2c([H])c([H])c(F)c([H])c2[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],501.1552749839106,35,62,8,3,0.0534928999999999,0.2953352968910117,CC(C)c1cc(Sc2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OC[C@H](O)C[C@@H](O)CC(=O)[O-],UFSXOKMGOHBXIH-NHCUHLMSSA-M,UFSXOKMGOHBXIH-NHCUHLMSSA-M
[H]O[C@@]([H])(C([H])([H])Oc1c(C([H])(c2c([H])c([H])c(F)c([H])c2[H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c2c([H])c([H])c([H])c([H])c2c1C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])C([H])([H])C(=O)[O-],505.18320398391074,37,64,7,4,0.0232511,0.2441626267717666,Cc1c(OC[C@H](O)C[C@@H](O)CC(=O)[O-])c(C(c2ccc(F)cc2)c2ccc(F)cc2)cc2ccccc12,ICEDGHZZGCMRPD-JWQCQUIFSA-M,ICEDGHZZGCMRPD-JWQCQUIFSA-M
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])SC(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],262.18352655609016,17,45,4,0,0.1345993,0.3913370613264907,CCCCCCCSC(=O)OCC[N+](C)(C)C,XMVIJBDXRKNDBR-UHFFFAOYSA-N,XMVIJBDXRKNDBR-UHFFFAOYSA-N
[H]C([H])([H])C(SC(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],220.13657636409,14,36,4,0,0.1411913,0.3932349754583151,CC(C)(C)SC(=O)OCC[N+](C)(C)C,HZKGABRDJWAJTG-UHFFFAOYSA-N,HZKGABRDJWAJTG-UHFFFAOYSA-N
[H]c1c([H])c2c3c(c([H])c([H])c([H])c3c1[H])-c1c-2n[n+]2c3c([H])c([H])c([H])c([H])c3n(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])c2c1[H],393.17098771209055,30,51,5,6,0.0743128999999999,0.2479582742606517,CCCNC(=O)Cn1c2ccccc2[n+]2nc3c(cc12)-c1cccc2cccc-3c12,MWYFDRCLIPYVQU-UHFFFAOYSA-O,MWYFDRCLIPYVQU-UHFFFAOYSA-O
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],132.13829061609,9,27,2,0,0.3062869,0.4443692361269151,C[N+](C)(C)CCCCO,WZENRHJTCWKPAZ-UHFFFAOYSA-N,WZENRHJTCWKPAZ-UHFFFAOYSA-N
[H]c1c([H])c([H])c(C(C(=O)N([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])n2c([H])c([H])[n+](C([H])([H])c3c([H])c([H])c(Br)c([H])c3[H])c2C([H])([H])[H])c([H])c1[H],488.1332010040908,32,59,5,4,0.1040391,0.3314620618262992,Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccc(Br)cc1,ZGCIEDVRSYXYMD-UHFFFAOYSA-O,ZGCIEDVRSYXYMD-UHFFFAOYSA-O
